Shipment_ID,Transport,Department,Pickup_time,Pickup_date,Delivery_time,Delivery_date,Collection_Name,Collection_City,Collection_Address,Collection_Postal_Code,Delivery_Name,Delivery_City,Delivery_Address,Delivery_Postal_Code,Weight,Volume,Ldm,Content,Units,Unit_type,Hazardous,Cost
NAESJ-DR172,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-10,GS/PAKKERIET/FUNKISFOOD APS,SKJERN,FELDSINGVEJ 3 DK-6900 SKJERN,6900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,11091.0,0.0,10.4,UNSPECIFIED GOODS,26,PLL,False,6600.0
NAESJ-DR972,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,FUNKISFOOD APS,SKJERN,FELDSINGVEJ 3 DK-6900 SKJERN,6900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,6151.0,0.0,7.2,UNSPECIFIED GOODS,18,PLL,False,5300.0
NAESJ-DR891,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/PAKKERIET/FUNKISFOOD APS,SKJERN,FELDSINGVEJ 3 DK-6900 SKJERN,6900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,13478.0,0.0,9.2,UNSPECIFIED GOODS,23,PLL,False,6100.0
NAESJ-DR507,,TEST1,00:01-23:59,2026-01-01,00:01-23:59,2026-01-04,SÆBY FISKE-INDUSTRI A/S,SÆBY,GYLDENDALSVEJ 2-4 DK-9300 SÆBY,9300.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,9768.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,9300.0
NAESJ-DR307,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,FUNKISFOOD APS,SKJERN,FELDSINGVEJ 3 DK-6900 SKJERN,6900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,2926.0,0.0,2.8,UNSPECIFIED GOODS,7,PLL,False,3500.0
NAESJ-DR112,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,GS/PAKKERIET/FUNKISFOOD APS,SKJERN,FELDSINGVEJ 3 DK-6900 SKJERN,6900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,4240.0,0.0,4.0,UNSPECIFIED GOODS,10,PLL,False,4000.0
NAESJ-DR365,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,GS/PAKKERIET/FUNKISFOOD APS,SKJERN,FELDSINGVEJ 3 DK-6900 SKJERN,6900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,6446.0,0.0,4.4,UNSPECIFIED GOODS,11,PLL,False,4200.0
NAESJ-DR645,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,GS/AQUADOR/AQUADOR MINERALWATER A/,BRANDE,KILDESKOVVEJ 10 DK-7330 BRANDE,7330.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,6468.0,0.0,4.4,UNSPECIFIED GOODS,44,QPL,False,4400.0
NAESJ-DR498,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/AQUADOR/AQUADOR MINERALWATER A/,BRANDE,KILDESKOVVEJ 10 DK-7330 BRANDE,7330.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,19404.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,7300.0
NAESJ-DR381,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,JAN IMPORT A/S,HADSTEN,OVER HADSTENVEJ 82 DK-8370 HADSTEN,8370.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,7383.0,0.0,10.4,UNSPECIFIED GOODS,26,PLL,False,8000.0
NAESJ-DR232,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/URTEKRAM A/S (AFHENTNING)/MIDSO,HOBRO,BENSHØJ INDUSTRIVEJ 20 DK-9500 HOBRO,9500.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,3704.0,0.0,7.6,UNSPECIFIED GOODS,19,PLL,False,7500.0
NAESJ-DR339,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/VALSEMØLLEN - AFHENTNING GRP. 8,ESBJERG,TOLDBODVEJ 7 DK-6700 ESBJERG,6700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,8136.0,0.0,5.2,UNSPECIFIED GOODS,13,PLL,False,4400.0
NAESJ-DR009,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-10,GS/INSULA DANMARK A/S/AMANDA SEAFO,FREDERIKSHAVN,"HOBROGADE, PORT 10 DK-9900 FREDERIKSHAVN",9900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,7248.0,0.0,4.4,UNSPECIFIED GOODS,11,PLL,False,6000.0
NAESJ-DR169,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-10,GS/URTEKRAM A/S (AFHENTNING)/MIDSO,HOBRO,BENSHØJ INDUSTRIVEJ 20 DK-9500 HOBRO,9500.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,6055.0,0.0,3.2,UNSPECIFIED GOODS,8,PLL,False,5100.0
NAESJ-DR041,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,BKI FOODS A/S,HØJBJERG,SØREN NYMARKS VEJ 7 DK-8270 HØJBJERG,8270.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,655.0,0.0,3.2,UNSPECIFIED GOODS,8,PLL,False,4400.0
NAESJ-DR765,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,SLIKBILEN APS,HERNING,TJELEVEJ 26 DK-7400 HERNING,7400.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,1469.0,0.0,8.4,UNSPECIFIED GOODS,21,PLL,False,6200.0
NAESJ-DR544,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/VALSEMØLLEN - AFHENTNING GRP. 8,ESBJERG,TOLDBODVEJ 7 DK-6700 ESBJERG,6700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,26140.0,0.0,13.2,UNSPECIFIED GOODS,33,PLL,False,6700.0
NAESJ-DR650,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/VALSEMØLLEN - AFHENTNING GRP. 8,ESBJERG,TOLDBODVEJ 7 DK-6700 ESBJERG,6700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,4010.0,0.0,3.2,UNSPECIFIED GOODS,8,PLL,False,3600.0
NAESJ-DR423,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-10,GS/INSULA DANMARK A/S/AMANDA SEAFO,FREDERIKSHAVN,"HOBROGADE, PORT 10 DK-9900 FREDERIKSHAVN",9900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,10428.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,9900.0
NAESJ-DR434,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,GS/INSULA DANMARK A/S/AMANDA SEAFO,FREDERIKSHAVN,"HOBROGADE, PORT 10 DK-9900 FREDERIKSHAVN",9900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,3397.0,0.0,4.4,UNSPECIFIED GOODS,43,QPL,False,6000.0
NAESJ-DS436,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-09,SÆBY FISKE-INDUSTRI A/S,SÆBY,GYLDENDALSVEJ 2-4 DK-9300 SÆBY,9300.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,17775.0,0.0,13.2,UNSPECIFIED GOODS,33,PLL,False,9300.0
NAESJ-DS099,,TEST1,00:01-23:59,2025-12-19,16:00-17:00,2025-12-19,TWC WATER APS,ESPERGÆRDE,RÅBJERGVEJ 9 DK-3060 ESPERGÆRDE,3060.0,NORMAL WAREHOUSE - HEDENSTED,HEDENSTED,KILDEPARKEN 36 DK-8722 HEDENSTED,8722.0,18000.0,0.0,13.2,OKF CLEAR COLOR,33,PLL,False,2900.0
NAESJ-DS195,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,AQUA D'OR MINERAL WATER,HERNING,HI PARK 441A DK-7400 HERNING,7400.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,11405.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,7400.0
NAESJ-DS079,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,NOPA NORDIC A/S,HOBRO,FINN THOSTRUP ENGEN 1 DK-9500 HOBRO,9500.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,5149.0,0.0,4.0,UNSPECIFIED GOODS,10,PLL,False,5500.0
NAESJ-DS551,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,GS/URTEKRAM A/S (AFHENTNING)/MIDSO,HOBRO,BENSHØJ INDUSTRIVEJ 20 DK-9500 HOBRO,9500.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,826.0,0.0,1.2,UNSPECIFIED GOODS,3,PLL,False,4000.0
NAESJ-DS172,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-17,AQUA D'OR MINERAL WATER,HERNING,HI PARK 441A DK-7400 HERNING,7400.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,11405.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,7400.0
NAESJ-DS053,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,GS/HOSC DISTRIBUTION APS/HOSC DIST,ODDER,BALLEVEJ 18 DK-8300 ODDER,8300.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,1359.0,0.0,1.6,UNSPECIFIED GOODS,4,PLL,False,3700.0
NAESJ-DS816,,TEST1,00:01-23:59,2026-01-02,08:00-08:00,2026-01-10,HARBOES BRYGGERI A/S,SKÆLSKØR,HARBOES BRYGGERI A/S FABRIKSVEJ 3 (VIA LADEBOVEJ),4230.0,REMA DISTRIBUTION DANMARK A/S,HORSENS,MARSALLÉ 32 VIA REITANPARKEN DK-8700 HORSENS,8700.0,14507.0,20.45,9.2,ØKOLOGISK RØDBEDESHO,23,PLL,False,2600.0
NAESJ-DS973,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,FYNBO FOODS A/S,VRÅ,SIGENVEJ 9 DK-9760 VRÅ,9760.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,5599.0,0.0,3.2,UNSPECIFIED GOODS,8,PLL,False,5200.0
NAESJ-DS072,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,ELIZA CHOKOLADE EN GROS APS,VIBY J,JENS JUULS VEJ 40 DK-8260 VIBY J,8260.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,1105.0,0.0,2.0,UNSPECIFIED GOODS,5,PLL,False,3900.0
NAESJ-DS201,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,BKI FOODS A/S,HØJBJERG,SØREN NYMARKS VEJ 7 DK-8270 HØJBJERG,8270.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,2935.0,0.0,5.2,UNSPECIFIED GOODS,13,PLL,False,5400.0
NAESJ-DS809,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,THE WHOLE COMPANY FOOD A/S,RANDERS C,SLÅENVEJ 4 DK-8900 RANDERS C,8900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,16679.0,0.0,10.8,UNSPECIFIED GOODS,27,PLL,False,8700.0
NAESJ-DS371,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,THE WHOLE COMPANY FOOD A/S,VADUM,CHARLES LINDBERGHSVEJ 15 DK-9430 VADUM,9430.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,2720.0,0.0,2.8,UNSPECIFIED GOODS,7,PLL,False,4800.0
NAESJ-DS145,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,THE WHOLE COMPANY FOOD A/S,VADUM,CHARLES LINDBERGHSVEJ 15 DK-9430 VADUM,9430.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,980.0,0.0,2.0,UNSPECIFIED GOODS,5,PLL,False,4400.0
NAESJ-DS499,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,JAN IMPORT A/S,HADSTEN,OVER HADSTENVEJ 82 DK-8370 HADSTEN,8370.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,8829.0,0.0,8.4,UNSPECIFIED GOODS,21,PLL,False,7000.0
NAESJ-DS975,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-17,GS/INSULA DANMARK A/S/AMANDA SEAFO,FREDERIKSHAVN,"HOBROGADE, PORT 10 DK-9900 FREDERIKSHAVN",9900.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,14540.0,0.0,9.2,UNSPECIFIED GOODS,23,PLL,False,8700.0
NAESJ-DS856,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-17,GS/URTEKRAM A/S (AFHENTNING)/MIDSO,HOBRO,BENSHØJ INDUSTRIVEJ 20 DK-9500 HOBRO,9500.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,4916.0,0.0,2.8,UNSPECIFIED GOODS,7,PLL,False,4900.0
NAESJ-DS549,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,THE WHOLE COMPANY FOOD A/S,VADUM,CHARLES LINDBERGHSVEJ 15 DK-9430 VADUM,9430.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,3960.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,9400.0
NAESJ-DS073,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-12,GS/HOSC DISTRIBUTION APS/,SKANDERBORG,ØRSTEDSVEJ 11 DK-8660 SKANDERBORG,8660.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,561.0,0.0,2.0,UNSPECIFIED GOODS,20,QPL,False,4000.0
NAESJ-DS946,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,BØDKERIET A/S,HOLSTEBRO,IDOMVEJ 70,7500.0,COOP DANMARK A/S,ALBERTSLUND,LÆHEGNET 35 ALBERTSLUND DISTRIBUTION CENTER,2620.0,7500.0,68.64,13.2,FASTELAVNSARTIKLER,65,PLL,False,7500.0
NAESJ-DS373,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,BØDKERIET A/S,HOLSTEBRO,IDOMVEJ 70,7500.0,COOP DANMARK A/S,ALBERTSLUND,LÆHEGNET 35 ALBERTSLUND DISTRIBUTION CENTER,2620.0,7200.0,63.36,12.0,FASTELAVNSARTIKLER,60,PLL,False,7500.0
NAESJ-DS550,,TEST1,06:00-14:00,2026-01-13,00:01-23:59,2026-01-16,AKV AMBA,VODSKOV,GRAVSHOLTVEJ 92,9310.0,KRYTA A/S,ROSKILDE,NAVERVEJ 32 DK-4000 ROSKILDE,4000.0,10270.0,16.2,5.0,PREMIUM POTATO STARC,10,IPL,False,5900.0
NAESJ-DS573,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,GS/FREJA TRANSPORT & LOGISTICS A/S,SKANDERBORG,"ØRSTEDSVEJ 11,STILLING DK-8660 SKANDERBORG",8660.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,760.0,0.0,2.4,UNSPECIFIED GOODS,13,CLL,False,4200.0
NAESJ-DS826,,TEST1,07:00-14:00,2026-01-16,07:00-14:00,2026-01-19,ARDAGH GLASS HOLMEGAARD A/S,HOLMEGAARD,GLASVÆRKSVEJ 10A-  FENSMARK,4684.0,Scandic Food Tårs,TÅRS,Industrivej 3,9830.0,20696.0,0.0,13.6,FLASKER,52,PXL,False,3300.0
NAESJ-DS182,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,JAN IMPORT A/S,HADSTEN,OVER HADSTENVEJ 82 DK-8370 HADSTEN,8370.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,882.0,0.0,1.2,UNSPECIFIED GOODS,9,QPL,False,3500.0
NAESJ-DS615,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-10,MARIAGER SALT SPECIALTIES A/S,MARIAGER,HADSUNDVEJ 17 DK-9550 MARIAGER,9550.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,21672.0,0.0,9.6,UNSPECIFIED GOODS,24,PLL,False,8700.0
NAESJ-DS677,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-09,GS/N.C. CHRISTIANSEN & SØNNER A/S/,HURUP THY,BREDGADE 9 DK-7760 HURUP THY,7760.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,5611.0,0.0,4.8,UNSPECIFIED GOODS,12,PLL,False,4900.0
NAESJ-DS078,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-10,"GS/LMC DK C/O, DSV ROAD SUB WAREHO",HORSENS,MOSSVEJ 27 DK-8700 HORSENS,8700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,10381.0,0.0,10.8,UNSPECIFIED GOODS,27,PLL,False,8500.0
NAESJ-DS683,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,GS/N.C. CHRISTIANSEN & SØNNER A/S/,HURUP THY,BREDGADE 9 DK-7760 HURUP THY,7760.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,7766.0,0.0,6.8,UNSPECIFIED GOODS,17,PLL,False,5800.0
NAESJ-DS603,,TEST1,00:01-23:59,2026-01-12,00:01-23:59,2026-01-13,RYNKEBY FOODS A/S,RINGE,VESTERGADE 30 DK-5750 RINGE,5750.0,TERMINAL TAASTRUP,TAASTRUP,LITAUEN ALLÉ 4 DK-2630 TAASTRUP,2630.0,2847.0,0.0,2.0,UNSPECIFIED GOODS,17,QPL,False,2700.0
NAESJ-DS692,,TEST1,00:01-23:59,2026-01-19,06:00-13:00,2026-01-20,DANSK BIOSTRØELSE,BORUP,BÆKGÅRDSVEJ 80 DK-4140 BORUP,4140.0,"HARALD NYBORG, BØRKOP",BØRKOP,INDUSTRIVEJ 67 ÅBNINGSTID 07.00-12.00,7080.0,30784.0,0.0,12.8,BRÆNDE SAMT TILBEHØR,32,PLL,False,2400.0
NAESJ-DS032,,TEST1,00:01-23:59,2026-01-05,07:00-15:00,2026-01-06,SÆBY FISKE-INDUSTRI A/S,SÆBY,GYLDENDALSVEJ 2-4 DK-9300 SÆBY,9300.0,DKI A/S,KØGE,MIMERSVEJ 3,4600.0,9768.0,0.0,13.2,UNSPECIFIED GOODS,132,QPL,False,9300.0
NAESJ-DS406,,TEST1,00:01-23:59,2026-01-13,00:01-23:59,2026-01-16,GS/N.C. CHRISTIANSEN & SØNNER A/S/,HURUP THY,BREDGADE 9 DK-7760 HURUP THY,7760.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,5737.0,0.0,5.2,UNSPECIFIED GOODS,13,PLL,False,5100.0
NAESJ-DS347,,TEST1,00:01-23:59,2026-01-06,00:01-23:59,2026-01-09,MARIAGER SALT SPECIALTIES A/S,MARIAGER,HADSUNDVEJ 17 DK-9550 MARIAGER,9550.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,20808.0,0.0,9.2,UNSPECIFIED GOODS,23,PLL,False,8500.0
NAESJ-DS772,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,GS/VALSEMØLLEN - AFHENTNING GRP. 8,ESBJERG,TOLDBODVEJ 7 DK-6700 ESBJERG,6700.0,NETTO,KØGE,MIMERSVEJ 1 DK-4600 KØGE,4600.0,5297.0,0.0,8.4,UNSPECIFIED GOODS,21,PLL,False,5600.0
