Shipment_ID,Transport,Department,Pickup_time,Pickup_date,Delivery_time,Delivery_date,Collection_Name,Collection_City,Collection_Address,Collection_Postal_Code,Collection_Country,Delivery_Name,Delivery_City,Delivery_Address,Delivery_Postal_Code,Delivery_Country,Weight,Volume,Ldm,Content,Units,Unit_type,Hazardous,Cost,Finance_Department,Incoterm,Customer,Loading_Instructions,Customer_Reference,Additional_Information,Services,min_temperature,max_temperature,stops
BOLIA-D4GMW,,NAESJ,07:00-14:00,2026-02-02,07:00-07:00,2026-02-03,LINIE DESIGN A/S,LYNGE,GRANLYET 7,3540.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,1800,18.0,6.0,Furniture,1,LOAD,False,2000.0,NAESJ,DAP,LINIE DESIGN A/S,,,,,-99.0,99.0,
CT1HH-17MZQ,,NAESJ,15:08-23:59,2026-02-02,15:00-15:00,2026-02-02,SIKA C/O DANSKE FRAGTMAEND,BRØNDBY,SOLMARKSVEJ 2 DK-2605 BRØNDBY,2605.0,DK,BYKO PORT WAREHOUSE,AARHUS C,BORNEOVEJ 14 DK-8000 AARHUS C,8000.0,DK,9451,26.496,9.2,FUGE & LIM,23,PLL,False,2400.0,NAESJ,DAP,SIKA C/O DANSKE FRAGTMAEND,,,,,-99.0,99.0,
CTHO1-45GSQ,,NAESJ,00:01-23:59,2026-01-27,00:01-23:59,2026-01-27,AF HORSENS (DOMESTIC),HORSENS,HATTINGVEJ 10 DK-8700 HORSENS,8700.0,DK,CHR. HANSEN HVIDOVRE,HVIDOVRE,JERNHOLMEN 1-27 DK-2650 HVIDOVRE,2650.0,DK,10000,0.0,6.0,PACKAGING,15,EUR,False,6100.0,NAESJ,DAP,AF HORSENS (DOMESTIC),,,,,-99.0,99.0,
CTHO1-45Q0K,,NAESJ,10:00-19:00,2026-01-23,06:00-14:00,2026-01-23,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,ANTALIS A/S,HOLSTEBRO,BASTRUPGAARDVEJ 8-10 DK-7500 HOLSTEBRO,7500.0,DK,1371,15.548,3.6,FOLIEFORM,11,PLL,False,1400.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO1-45AX0,,NAESJ,15:00-15:00,2026-02-04,00:01-23:59,2026-02-05,AF HORSENS (DOMESTIC),HORSENS,HATTINGVEJ 10 DK-8700 HORSENS,8700.0,DK,CHR. HANSEN HVIDOVRE,HVIDOVRE,JERNHOLMEN 1-27 DK-2650 HVIDOVRE,2650.0,DK,20000,0.0,13.2,PACKAGING,33,EUR,False,8700.0,NAESJ,DAP,AF HORSENS (DOMESTIC),,,,,-99.0,99.0,
CTHO1-453V4,,NAESJ,00:01-23:59,2026-01-27,00:01-23:59,2026-01-27,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,INCO CASH & CARRY,KØBENHAVN,INGERSLEVGADE 42 DK 1711  KØBENHAVN,1711.0,DK,1293,17.184,4.0,FOLIEFORM,10,PLL,False,3100.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO1-45A9T,,NAESJ,00:01-23:59,2026-02-02,00:01-23:59,2026-02-02,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,STRYHNS A/S ROSKILDE,ROSKILDE,"VESTRE KIRKEVEJ 13-19, HIMMELE DK-4000 ROSKILDE",4000.0,DK,1570,12.208,2.8,FOLIEFORM,7,PLL,False,2700.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO1-46BZR,,NAESJ,18:00-23:59,2026-02-04,23:59-23:59,2026-02-04,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,STRYHNS A/S ROSKILDE,ROSKILDE,"VESTRE KIRKEVEJ 13-19, HIMMELE DK-4000 ROSKILDE",4000.0,DK,1554,11.554,2.8,FOLIEFORM,9,PLL,False,2700.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO1-46C0Y,,NAESJ,21:00-23:59,2026-01-28,23:00-23:59,2026-01-28,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,BUNZL DISTRIBUTION DANMARK A/S,GREVE,GREVE MAIN 30 DK-2670 GREVE,2670.0,DK,1257,11.595,2.8,FOLIEFORM,12,PLL,False,2700.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO1-468QG,,NAESJ,23:59-23:59,2026-01-28,00:01-23:59,2026-01-29,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,STRYHNS A/S ROSKILDE,ROSKILDE,"VESTRE KIRKEVEJ 13-19, HIMMELE DK-4000 ROSKILDE",4000.0,DK,4657,34.88,8.0,FOLIEFORM,20,PLL,False,4300.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO1-46CGX,,NAESJ,05:35-05:35,2026-01-30,00:01-23:59,2026-01-30,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,DK,ANTALIS A/S,HOLSTEBRO,BASTRUPGAARDVEJ 8-10 DK-7500 HOLSTEBRO,7500.0,DK,1457,14.528,3.6,FOLIEFORM,9,PLL,False,1400.0,NAESJ,DAP,PLUS PACK AS,,,,,-99.0,99.0,
CTHO3-131N1,,NAESJ,10:00-19:00,2026-01-27,14:00-23:30,2026-01-27,DERMA PHARM A/S,FÅRUP,EUROPAVEJ 10,8990.0,DK,MATAS OPERATION A/S,ALLERØD,RØRMOSEVEJ 1 LAGER 1,3450.0,DK,1595,0.0,2.0,PERSONLIG PLEJE,5,EUR,False,4200.0,NAESJ,DAP,DERMA PHARM A/S,,,,,-99.0,99.0,
CTHO3-137DF,,NAESJ,14:00-14:00,2026-02-06,09:00-13:30,2026-02-06,DERMA PHARM A/S,FÅRUP,EUROPAVEJ 10,8990.0,DK,LINK LOGISTIC A/S,BRØNDBY,VALLENSBÆKVEJ 51- 53 PORT 1 DK-2605 BRØNDBY,2605.0,DK,2850,0.0,3.2,PERSONLIG PLEJE,8,EUR,False,4800.0,NAESJ,DAP,DERMA PHARM A/S,,,,,-99.0,99.0,
CTHO3-13PWV,,NAESJ,08:00-12:00,2026-02-06,07:00-13:00,2026-02-06,DERMA PHARM A/S,FÅRUP,EUROPAVEJ 10,8990.0,DK,LINK LOGISTICS A/S,BRØNDBY,VALLENSBÆKVEJ 51 -  PORT 1 DK-2605 BRØNDBY,2605.0,DK,2715,5.347,2.4,HUDPLEJE,6,EUR,False,4400.0,NAESJ,DAP,DERMA PHARM A/S,,,,,-99.0,99.0,
CTHO3-134JG,,NAESJ,00:01-23:59,2026-01-26,00:01-23:59,2026-01-27,DERMA PHARM A/S,FÅRUP,EUROPAVEJ 10,8990.0,DK,BRING SHELFLESS DANMARK,KØGE,EGEDALSVEJ 38 DK-4600 KØGE,4600.0,DK,3315,0.0,3.2,HUDPLEJE,8,EUR,False,4800.0,NAESJ,DAP,DERMA PHARM A/S,,,,,-99.0,99.0,
CTHO3-13VUZ,,NAESJ,14:30-16:00,2026-02-06,08:00-14:00,2026-02-06,DERMA PHARM A/S,FÅRUP,EUROPAVEJ 10,8990.0,DK,MATAS OPERATION A/S,ALLERØD,RØRMOSEVEJ 1 LAGER 1,3450.0,DK,4325,0.0,3.2,PERSONLIG PLEJE,8,EUR,False,4800.0,NAESJ,DAP,DERMA PHARM A/S,,,,,-99.0,99.0,
CTHO3-13E9S,,NAESJ,23:59-23:59,2026-02-04,00:01-00:01,2026-02-05,DERMA PHARM A/S,FÅRUP,EUROPAVEJ 10,8990.0,DK,GRAENN A/S,FARUM,HAVREMARKEN 14 DK-3520 FARUM,3520.0,DK,6806,0.0,6.8,PERSONLIG PLEJE,17,EUR,False,6700.0,NAESJ,DAP,DERMA PHARM A/S,,,,,-99.0,99.0,
DDHD3-EHCAF,,NAESJ,14:30-16:00,2026-01-26,14:30-16:00,2026-01-26,SEBRA INTERIØR APS,ESBJERG N,LILLEBÆLTSVEJ 93 DK-6715 ESBJERG N,6715.0,DK,MAGASIN DU NORD ONLINE ATT CAMILLA,HEDEHUSENE,C/O DSV SOLUTIONS A/S HEDELANDSVEJ 28 B PORT 139-142 (IN,2640.0,DK,2340,19.2,4.0,UNSPECIFIED GOODS,10,EUR,False,3900.0,NAESJ,DAP,SEBRA INTERIØR APS,,,,,-99.0,99.0,
DDHD4-OEU8L,,NAESJ,00:01-23:59,2026-02-05,00:01-23:59,2026-02-05,VESTJYSK RUSTFRI MONTAGE APS,VARDE,GLARMESTERVEJ 5 PORT 5 VAREINDLEVERING,6800.0,DK,GEA PROCESS ENGINEERING A/S,SØBORG,"GLADSAXEVEJ 309 BYGNING E, TESTSTATIONEN",2860.0,DK,1750,9.005,2.2,FRYSETØRRINGSMASKINE,1,CRT,False,3200.0,NAESJ,DAP,VESTJYSK RUSTFRI MONTAGE APS,,,,,-99.0,99.0,
DDHD4-OEAJE,,NAESJ,00:01-23:59,2026-01-28,00:01-23:59,2026-01-28,ALFLOW SCANDINAVIA A/S,VEJEN,INDUSTGRIVEJ VEST 36 DK-6600 VEJEN,6600.0,DK,SCHULTZ STEVEDORING A/S,KALUNDBORG,ASNÆS HAVNEVEJ 11 DK-4400 KALUNDBORG,4400.0,DK,1060,5.438,3.5,AGITATOR,2,CAS,False,3600.0,NAESJ,DAP,ALFLOW SCANDINAVIA A/S,,,,,-99.0,99.0,
DDHD4-OFDSC,,NAESJ,00:01-23:59,2026-01-28,00:01-23:59,2026-01-28,ALFLOW SCANDINAVIA A/S,VEJEN,INDUSTRIVEJ VEST 36 DK-6600 VEJEN,6600.0,DK,DTE - NIELSEN & LØJMAR,HVIDOVRE,AVEDØREHOLMEN 90 DK-2650 HVIDOVRE,2650.0,DK,1730,8.277,7.0,SPARES,2,CLL,False,5000.0,NAESJ,DAP,ALFLOW SCANDINAVIA A/S,,,,,-99.0,99.0,
DDHD4-OFWX3,,NAESJ,07:00-15:00,2026-01-29,07:00-15:00,2026-01-29,INTERMAIL DANMARK A/S,HVIDOVRE,STAMHOLMEN 70 DK-2650 HVIDOVRE,2650.0,DK,ANTALIS A/S,HOLSTEBRO,BASTRUPGÅRDVEJ 8-10 DK-7500 HOLSTEBRO,7500.0,DK,10800,0.0,3.6,DIV,9,PL1,False,1400.0,NAESJ,DAP,INTERMAIL DANMARK A/S,,,,,-99.0,99.0,
DISAH-ZEB9F,,NAESJ,14:00-23:30,2026-02-02,14:00-23:30,2026-02-02,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,AUSTRALIAN BODYCARE CONTINENTAL AP,VISSENBJERG,"MIDDELFARTVEJ 61-63, HAL D ASSENBØLLE ERHVERVSPARK",5492.0,DK,2495,38.352,6.8,BOTTLE,17,EUR,False,1300.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZEQFI,,NAESJ,00:01-23:59,2026-02-04,00:01-23:59,2026-02-04,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,3000.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZE562,,NAESJ,00:01-23:59,2026-01-28,00:01-23:59,2026-01-28,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,3000.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZELKW,,NAESJ,14:51-14:51,2026-01-30,16:00-17:00,2026-01-30,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,3000.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZETRN,,NAESJ,00:01-23:59,2026-02-03,00:01-23:59,2026-02-03,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,SCANDIC FOOD A/S,NØRRE AABY,RÖNNEVEJ 24 PORT 1-2 MAN-TOR:6.30-14.00 - FRE: 6.30-12.,5580.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,1900.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZEP7P,,NAESJ,00:01-23:59,2026-01-23,00:01-23:59,2026-01-23,PHARMA-TECH,RANDERS SV,MESSINGVEJ 23 ÅBEN MELLEM KL. 10 OG 14.30 - PORT,8940.0,DK,JK SALATER OG DRESSINGER APS,KØBENHAVN,SLAGTERBODERNE 25 LEVERING KUN ONSDAGE ML. 7-12,1716.0,DK,2100,28.224,5.6,PLASTFLASKER,14,EUR,False,6000.0,NAESJ,DAP,PHARMA-TECH,,,,,-99.0,99.0,
DISAH-ZE933,,NAESJ,23:59-23:59,2026-01-27,16:00-16:00,2026-01-27,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,SCANDIC FOOD A/S,NØRRE AABY,RÖNNEVEJ 24 PORT 1-2 MAN-TOR:6.30-14.00 - FRE: 6.30-12.,5580.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,1900.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZEL61,,NAESJ,07:00-15:30,2026-02-02,07:00-15:00,2026-02-02,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,3000.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZEOVS,,NAESJ,00:01-23:59,2026-02-02,00:01-23:59,2026-02-02,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,DK,3095,69.696,13.2,BOTTLE,33,EUR,False,3000.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZF1B0,,NAESJ,06:00-14:00,2026-02-03,04:00-23:59,2026-02-03,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,CHR. HANSEN A/S,PADBORG,PLANTAGEVEJ 7-9 OHL LOGISTICS A/S,6330.0,DK,2895,59.136,11.2,BOTTLE,28,EUR,False,2100.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
DISAH-ZFQU5,,NAESJ,14:30-16:00,2026-02-02,15:13-15:13,2026-02-02,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,DK,SCANDIC FOOD A/S,NØRRE AABY,RÖNNEVEJ 24 PORT 1-2 MAN-TOR:6.30-14.00 - FRE: 6.30-12.,5580.0,DK,3395,69.696,13.2,BOTTLE,33,EUR,False,1900.0,NAESJ,DAP,BERLIN PACKAGING DENMARK,,,,,-99.0,99.0,
ECCO8-09JQD,,NAESJ,00:01-23:59,2026-02-03,00:01-23:59,2026-02-03,ECCO A/S,TØNDER,SKOVÆNGET 20,6270.0,DK,"RØDE KORS, NETVÆRKSHUSET",KØBENHAVN N,NORDRE FASANVEJ 228 DK-2200 KØBENHAVN N,2200.0,DK,817,6.408,2.8,147 CLL SKO,7,PLL,False,3200.0,NAESJ,DAP,ECCO A/S,,,,,-99.0,99.0,
